postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
LL61 6,3321,3321,Isle of Anglesey,,,Gwynedd,,
LL62 5,1694,1694,Isle of Anglesey,,,Gwynedd,,
LL63 5,1339,1339,Isle of Anglesey,,,Gwynedd,,
LL64 5,1001,1001,Isle of Anglesey,,,Gwynedd,,
LL65 1,5454,5454,Isle of Anglesey,,,Gwynedd,,
LL65 2,8205,8198,Isle of Anglesey,,,Gwynedd,,
LL65 3,6436,6436,Isle of Anglesey,,,Gwynedd,,
LL65 4,3470,3470,Isle of Anglesey,,,Gwynedd,,
LL66 0,252,252,Isle of Anglesey,,,Gwynedd,,
LL66 9,12,12,Isle of Anglesey,,,Gwynedd,,
LL67 0,1416,1416,Isle of Anglesey,,,Gwynedd,,
LL68 0,1276,1276,Isle of Anglesey,,,Gwynedd,,
LL68 9,4839,4839,Isle of Anglesey,,,Gwynedd,,
LL69 9,735,735,Isle of Anglesey,,,Gwynedd,,
LL70 9,269,269,Isle of Anglesey,,,Gwynedd,,
LL71 7,498,498,Isle of Anglesey,,,Gwynedd,,
LL71 8,1367,1367,Isle of Anglesey,,,Gwynedd,,
LL72 8,820,820,Isle of Anglesey,,,Gwynedd,,
LL73 8,233,233,Isle of Anglesey,,,Gwynedd,,
LL74 8,2389,2389,Isle of Anglesey,,,Gwynedd,,
LL75 7,45,45,Isle of Anglesey,,,Gwynedd,,
LL75 8,1488,1488,Isle of Anglesey,,,Gwynedd,,
LL76 8,280,280,Isle of Anglesey,,,Gwynedd,,
LL77 7,6849,6849,Isle of Anglesey,,,Gwynedd,,
LL77 8,236,236,Isle of Anglesey,,,Gwynedd,,
LL77 9,,,Isle of Anglesey,,,Gwynedd,,
LL78 7,111,111,Isle of Anglesey,,,Gwynedd,,
LL78 8,391,391,Isle of Anglesey,,,Gwynedd,,
NP10 0,1704,1704,Newport,,,Gwent,,
NP10 8,12117,12114,Newport,Caerphilly,,Gwent,,
NP10 9,9603,9595,Newport,Caerphilly,,Gwent,,
NP11 3,4805,4805,Caerphilly,,,Gwent,,
NP11 4,5849,5849,Caerphilly,,,Gwent,,
NP11 5,6407,6407,Caerphilly,Torfaen,Blaenau Gwent,Gwent,,
NP11 6,11141,11141,Caerphilly,,,Gwent,,
NP11 7,9244,9244,Caerphilly,,,Gwent,,
NP11 9,,,Caerphilly,,,Gwent,,
NP12 0,7959,7959,Caerphilly,,,Gwent,,
NP12 1,8346,8346,Caerphilly,,,Gwent,,
NP12 2,9296,9292,Caerphilly,,,Gwent,,
NP12 3,8201,8201,Caerphilly,,,Gwent,,
NP12 4,,,Caerphilly,,,Gwent,,
NP12 9,,,Caerphilly,,,Gwent,,
NP13 1,8790,8790,Blaenau Gwent,,,Gwent,,
NP13 2,6224,6224,Blaenau Gwent,Caerphilly,,Gwent,,
NP13 3,5055,5050,Blaenau Gwent,,,Gwent,,
NP13 9,,,Blaenau Gwent,,,Gwent,,
NP15 1,6027,6027,Monmouthshire,,,Gwent,,
NP15 2,2262,2247,Monmouthshire,,,Gwent,,
NP15 9,,,Monmouthshire,,,Gwent,,
NP16 5,11322,11321,Monmouthshire,,,Gwent,,
NP16 6,6627,6627,Monmouthshire,,,Gwent,,
NP16 7,5853,20,Monmouthshire,,,Gwent,,
NP16 9,,,Monmouthshire,,,Gwent,,
NP18 1,4968,4968,Newport,Monmouthshire,Torfaen,Gwent,,
NP18 2,6424,6424,Newport,,,Gwent,,
NP18 3,5889,5298,Newport,,,Gwent,,
NP19 0,10561,10549,Newport,,,Gwent,,
NP19 1,,,Newport,,,Gwent,,
NP19 4,5228,5201,Newport,,,Gwent,,
NP19 7,12772,12772,Newport,,,Gwent,,
NP19 8,9586,9586,Newport,,,Gwent,,
NP19 9,13509,13461,Newport,,,Gwent,,
NP20 1,684,675,Newport,,,Gwent,,
NP20 2,7620,7569,Newport,,,Gwent,,
NP20 3,10699,10699,Newport,,,Gwent,,
NP20 4,6486,6486,Newport,,,Gwent,,
NP20 5,9495,9495,Newport,,,Gwent,,
NP20 6,8097,8091,Newport,,,Gwent,,
NP20 7,7587,7587,Newport,,,Gwent,,
NP20 9,,,Newport,,,Gwent,,
NP22 3,7610,7610,Blaenau Gwent,Caerphilly,,Gwent,,
NP22 4,7593,7593,Blaenau Gwent,,,Gwent,,
NP22 5,6855,6855,Caerphilly,Caerphilly,,Gwent,,
NP22 9,,,Blaenau Gwent,,,Gwent,,
NP23 4,10042,10042,Blaenau Gwent,,,Gwent,,
NP23 5,10584,10574,Blaenau Gwent,,,Gwent,,
NP23 6,8958,8958,Blaenau Gwent,,,Gwent,,
NP23 7,2735,2716,Blaenau Gwent,,,Gwent,,
NP23 8,1066,1066,Blaenau Gwent,,,Gwent,,
NP23 9,,,Blaenau Gwent,,,Gwent,,
NP24 6,4962,4962,Caerphilly,,,Gwent,,
NP25 3,5117,5020,Monmouthshire,,,Gwent,,
NP25 4,3893,3544,Monmouthshire,,,Gwent,,
NP25 5,6434,6049,Monmouthshire,,,Gwent,,
NP25 9,,,Monmouthshire,,,Gwent,,
NP26 3,9416,9414,Monmouthshire,Newport,,Gwent,,
NP26 4,7649,7622,Monmouthshire,,,Gwent,,
NP26 5,5530,5530,Monmouthshire,,,Gwent,,
NP26 9,,,Monmouthshire,,,Gwent,,
NP4 0,7492,7492,Monmouthshire,Torfaen,,Gwent,,
NP4 4,,,Torfaen,,,Gwent,,
NP4 5,9284,9277,Torfaen,,,Gwent,,
NP4 6,7522,7522,Torfaen,,,Gwent,,
NP4 7,6525,6525,Torfaen,,,Gwent,,
NP4 8,8060,8055,Torfaen,Monmouthshire,,Gwent,,
NP4 9,6082,6050,Torfaen,Monmouthshire,,Gwent,,
NP44 1,7853,7853,Torfaen,,,Gwent,,
NP44 2,5643,5643,Torfaen,Monmouthshire,,Gwent,,
NP44 3,7060,7060,Torfaen,,,Gwent,,
NP44 4,7155,7155,Torfaen,,,Gwent,,
NP44 5,5725,5725,Torfaen,,,Gwent,,
NP44 6,5382,5382,Torfaen,,,Gwent,,
NP44 7,5194,5194,Torfaen,,,Gwent,,
NP44 8,3333,3333,Torfaen,,,Gwent,,
NP44 9,,,Torfaen,,,Gwent,,
NP7 0,3906,3904,Monmouthshire,,,Gwent,,
NP7 1,,,Monmouthshire,,,Gwent,,
NP7 5,4971,4971,Monmouthshire,,,Gwent,,
NP7 6,5640,5635,Monmouthshire,,,Gwent,,
NP7 7,3096,3096,Monmouthshire,Powys,,Gwent,Powys,
NP7 8,3139,3119,Monmouthshire,,,Gwent,,
NP7 9,5281,5281,Monmouthshire,,,Gwent,,
NP8 1,5345,5344,Powys,,,Powys,,
SA1 1,3356,3356,Swansea,,,West Glamorgan,,
SA1 2,5372,5372,Swansea,,,West Glamorgan,,
SA1 3,3986,3986,Swansea,,,West Glamorgan,,
SA1 4,4872,4872,Swansea,,,West Glamorgan,,
SA1 5,824,824,Swansea,,,West Glamorgan,,
SA1 6,15014,15014,Swansea,,,West Glamorgan,,
SA1 7,6609,6609,Swansea,,,West Glamorgan,,
SA1 8,7364,7364,Swansea,Neath Port Talbot,,West Glamorgan,,
SA1 9,,,Swansea,,,West Glamorgan,,
SA10 6,9545,9545,Neath Port Talbot,,,West Glamorgan,,
SA10 7,9969,9969,Neath Port Talbot,,,West Glamorgan,,
SA10 8,6592,6592,Neath Port Talbot,,,West Glamorgan,,
SA10 9,3965,3965,Neath Port Talbot,Powys,,West Glamorgan,Powys,
