geography,population,density
BA1  7,5514,5.6
BA1  8,904,0.4
BA1  9,248,0.3
BA10 0,3739,0.9
BA11 1,4992,53.4
BA11 2,10935,4
BA11 3,4944,2
BA11 4,6285,7.7
BA11 5,3424,0.6
BA11 6,1874,2.6
BA12 0,5660,0.4
BA12 6,4285,0.7
BA12 7,3068,0.3
BA12 8,8989,7
BA12 9,6506,7.3
BA13 2,1303,20
BA13 3,12876,9.5
BA13 4,6045,1
BA14 0,12465,14.9
BA14 6,5938,1.3
BA14 7,15181,13.9
BA14 8,5810,27.4
BA14 9,8744,4.5
BA15 1,9149,13.4
BA15 2,3990,1.3
BA16 0,10396,10.1
BA16 9,2645,1.3
BA2  0,4579,2.4
BA2  1,12851,40.6
BA2  2,10477,42.9
BA2  3,9376,61.5
BA2  4,6277,31.7
BA2  5,7220,22.1
BA2  6,6122,9
BA2  7,7173,1.2
BA2  8,7655,3
BA2  9,2022,0.6
BA20 1,2173,27.8
BA20 2,8692,18.3
BA21 3,15100,18.2
BA21 4,8900,39.7
BA21 5,9619,8.1
BA22 7,3881,0.6
BA22 8,8965,1.4
BA22 9,5320,0.9
BA3  2,9801,21.1
BA3  3,10411,13
BA3  4,7556,1.1
BA3  5,6942,1.2
BA4  4,5159,0.6
BA4  5,8299,21.5
BA4  6,4317,0.6
BA5  1,6065,0.9
BA5  2,7253,17.8
BA5  3,4216,0.9
BA6  8,6437,1
BA6  9,6433,2.4
BA7  7,3514,2.1
BA8  0,4153,1
BA9  8,1484,0.3
BA9  9,5758,2.3
BB1  1,12317,50.8
BB1  2,9179,9.2
BB1  3,2784,41.1
BB1  4,6625,6
BB1  5,7773,22.6
BB1  6,3458,87.9
BB1  7,4369,92.3
BB1  8,9813,44
BB1  9,10227,5.3
BB10 1,8813,26.7
BB10 2,10448,34.9
BB10 3,7988,2.3
BB10 4,10183,3.5
BB11 2,5203,22.6
BB11 3,4093,22.6
BB11 4,6065,45.4
BB11 5,6860,3
BB12 0,8089,23.7
BB12 6,8530,20.2
BB12 7,7169,5.1
BB12 8,7891,19.2
BB12 9,2934,0.9
BB18 5,7710,2.9
BB18 6,9469,5.4
BB2  1,5685,53.2
BB2  2,4447,41.2
BB2  3,9919,43.5
BB2  4,15182,37.4
BB2  5,7070,11.1
BB2  6,10432,11.8
BB2  7,7189,2.8
BB3  0,9303,6.8
BB3  1,6392,28.4
BB3  2,9402,7.2
BB3  3,9406,7.1
BB4  4,7473,3.2
BB4  5,6006,5.8
BB4  6,7795,12.7
BB4  7,5874,7.4
BB4  8,8676,7.2
BB4  9,5577,3.6
BB5  0,9702,47.6
BB5  1,4946,52.3
BB5  2,7686,13
BB5  3,7911,6.4
BB5  4,8846,21.7
BB5  5,11513,10.7
BB5  6,10498,13.5
BB6  7,10800,8.8
BB6  8,3859,3.5
BB7  1,7591,3.3
BB7  2,7177,17
BB7  3,3067,0.1
BB7  4,5080,0.4
BB7  9,8784,2.5
BB8  0,6062,37.2
BB8  7,4630,1.7
BB8  8,5092,1.8
BB8  9,7257,21.3
BB9  0,12189,32.5
BB9  5,6357,33.1
BB9  6,4788,2.9
BB9  7,6726,50.3
BB9  8,8116,35.5
BB9  9,6422,14.1
BD1  1,384,16.7
BD1  2,370,26.6
BD1  3,1575,50.3
BD1  4,751,26.1
BD1  5,756,68.7
BD10 0,8834,15.3
BD10 8,10627,40.8
BD10 9,6421,50.3
BD11 1,5528,12
BD11 2,5827,10.4
BD12 0,5308,19.5
BD12 7,1901,9.9
BD12 8,4908,15.9
BD12 9,4568,15.7
BD13 1,3967,8.2
BD13 2,7657,18.3
BD13 3,6934,6.9
BD13 4,3489,3.4
BD13 5,2932,3.2
BD14 6,8871,22.1
BD15 0,4248,9.1
BD15 7,8060,34.1
BD15 9,3008,20.4
BD16 1,9433,6.6
BD16 2,3422,15.9
BD16 3,5776,4.1
BD16 4,7172,34.3
BD17 5,8187,9.4
BD17 6,6188,38.2
BD17 7,3526,5.8
BD18 1,7192,40.1
BD18 2,6828,41.5
BD18 3,5448,28.3
BD18 4,7790,25.3
BD19 3,5989,31
BD19 4,9436,14.7
BD19 5,2646,24.4
BD19 6,3948,8.3
BD2  1,8149,43.4
BD2  2,4754,59
BD2  3,7927,49.1
BD2  4,7736,57.1
BD20 0,6137,3.5
BD20 5,7284,4.8
BD20 6,7399,7.4
BD20 7,4908,4.4
BD20 8,5509,2.6
BD20 9,4078,1.7
BD21 1,6041,59.1
BD21 2,7158,70.8
BD21 3,3931,66.3
BD21 4,7373,12.2
BD21 5,2630,10.2
BD22 0,4465,0.8
BD22 6,7683,27.8
BD22 7,9056,25
BD22 8,4270,20.8
BD22 9,4375,2.3
BD23 1,5900,21.6
BD23 2,8348,7.5
BD23 3,4100,0.4
BD23 4,3569,0.2
BD23 5,3485,0.1
BD23 6,3927,0.2
BD24 0,2003,0.2
BD24 9,3128,0.7
BD3  0,9775,47.3
BD3  7,7518,50.1
BD3  8,9087,95.9
BD3  9,7641,97.2
BD4  0,6698,7.3
BD4  6,7253,19.9
BD4  7,4767,34.2
BD4  8,6867,16.5
BD4  9,5633,36.3
BD5  0,7093,62.6
BD5  7,6312,71.2
BD5  8,7748,36.3
