geography,population,density
CH49 9,1892,40.1
CH5  1,8576,21
CH5  2,7286,3.8
CH5  3,9889,5
CH5  4,16774,8.9
CH6  5,13187,6.4
CH6  6,3931,4.9
CH60 0,1280,20.9
CH60 1,1892,28.2
CH60 2,1510,19
CH60 3,1018,10.5
CH60 4,790,6.5
CH60 5,1928,28.1
CH60 6,1267,9.9
CH60 7,1215,37.6
CH60 8,970,2.8
CH60 9,1214,6.6
CH61 0,498,1.2
CH61 1,1220,2.2
CH61 2,619,9.4
CH61 3,1576,24.6
CH61 4,2867,11.4
CH61 5,2599,48.8
CH61 6,2406,22.8
CH61 7,1923,15.7
CH61 8,2154,31.4
CH61 9,1728,18.4
CH62 0,1094,5.4
CH62 1,3131,39.5
CH62 2,3535,21.4
CH62 3,1162,24.2
CH62 4,1890,8.4
CH62 5,2331,30.6
CH62 6,3919,31.5
CH62 7,3453,17.5
CH62 8,4862,36.6
CH62 9,3355,11.6
CH63 0,4629,22.2
CH63 1,307,5.2
CH63 2,5002,39.6
CH63 3,4382,49.3
CH63 4,328,0.3
CH63 5,4120,37.5
CH63 6,533,0.4
CH63 7,3936,33.7
CH63 8,2977,41.8
CH63 9,4383,14.1
CH64 0,2874,15.2
CH64 1,1428,3.2
CH64 2,1197,9.3
CH64 3,1997,9.1
CH64 4,2756,3.1
CH64 5,922,0.8
CH64 6,2928,4.8
CH64 7,292,1.3
CH64 8,153,0.5
CH64 9,4374,15
CH65 0,1176,24.3
CH65 2,2588,35.3
CH65 3,1138,18.6
CH65 4,878,2.1
CH65 5,3385,1.9
CH65 6,3195,38.4
CH65 7,3659,43.9
CH65 8,4688,49
CH65 9,5664,21.3
CH66 1,6055,19.7
CH66 2,12803,45.2
CH66 3,6076,45.2
CH66 4,8583,25.3
CH66 5,1004,5
CH66 6,385,2.4
CH66 7,186,0.4
CH7  1,10058,15.8
CH7  2,9549,30.7
CH7  3,6249,8.9
CH7  4,6061,0.9
CH7  5,6640,0.8
CH7  6,11509,3.1
CH8  7,9138,9.4
CH8  8,6200,1
CH8  9,5341,1.5
CM0  7,8332,0.8
CM0  8,7671,3.5
CM1  1,3582,23.3
CM1  2,15985,42.4
CM1  3,8527,2.6
CM1  4,13114,2.1
CM1  6,13344,29.4
CM1  7,8310,14.4
CM11 1,7237,5.4
CM11 2,11764,9.3
CM12 0,12334,22.7
CM12 9,7488,5.2
CM13 1,8383,6.1
CM13 2,10236,23.5
CM13 3,5875,1.6
CM14 4,10536,37.7
CM14 5,9210,2.9
CM15 0,8835,3.3
CM15 8,5759,9.7
CM15 9,8812,12.4
CM16 4,3688,26.4
CM16 5,3512,18
CM16 6,8034,2.6
CM16 7,6862,2.6
CM17 0,6859,3.5
CM17 9,14437,8.9
CM18 6,12859,41.8
CM18 7,11566,44.9
CM19 4,10841,39.8
CM19 5,7970,8.1
CM2  0,5299,49.5
CM2  6,14995,25.5
CM2  7,8423,5.8
CM2  8,14882,6
CM2  9,14653,38.8
CM20 1,6371,12.8
CM20 2,4013,3.4
CM20 3,11016,42.9
CM21 0,4308,1.9
CM21 9,6530,15.4
CM22 6,6840,1.5
CM22 7,6392,1.1
CM23 1,1552,0.6
CM23 2,7264,13.1
CM23 3,9337,45.9
CM23 4,13349,13.9
CM23 5,9113,13.5
CM24 8,6669,4
CM3  1,5614,1
CM3  2,5430,1.2
CM3  3,4913,1.8
CM3  4,9242,3
CM3  5,14894,18.6
CM3  6,9396,1.5
CM3  7,1559,29.3
CM3  8,3060,1
CM4  0,4575,1.1
CM4  9,5606,2.5
CM5  0,5402,0.7
CM5  9,5179,1.8
CM6  1,11691,1.7
CM6  2,6243,1.1
CM6  3,7250,1.1
CM7  1,9301,32.6
CM7  2,5528,43.4
CM7  3,11019,44.7
CM7  4,4231,0.6
CM7  5,9412,2.4
CM7  9,9252,17
CM77 6,2646,3
CM77 7,7451,18.6
CM77 8,5298,1.3
CM8  1,13990,8.8
CM8  2,11885,21.1
CM8  3,6932,2
CM9  4,8896,7.8
CM9  5,4265,45.3
CM9  6,11368,2
CM9  8,8996,1.1
CO1  1,4670,23.3
CO1  2,10318,47.4
CO10 0,13376,2.5
CO10 1,8320,31.2
CO10 2,4410,9.8
CO10 5,2263,0.7
CO10 7,6438,0.8
CO10 8,5356,0.8
CO10 9,6166,1.1
CO11 1,5643,5.7
CO11 2,7307,1.4
CO12 3,6974,22.8
CO12 4,11264,21.8
CO12 5,3977,1.2
CO13 0,8108,5.1
CO13 9,4002,20
CO14 8,6735,9.6
CO15 1,7233,28.9
CO15 2,6493,17.4
CO15 3,8623,59.2
CO15 4,8117,14.5
CO15 5,6741,22.7
CO15 6,5847,30.6
CO16 0,3036,0.7
CO16 7,4919,27.6
CO16 8,10919,5
CO16 9,5322,1.6
CO2  0,4480,1.4
CO2  7,9256,33.3
CO2  8,12673,19
CO2  9,8705,13.1
CO3  0,7681,10.2
CO3  3,8002,16.5
CO3  4,6662,37
CO3  8,828,2.1
CO3  9,4944,9.4
CO4  0,7230,32.1
CO4  3,17987,27.7
CO4  5,14008,4.3
CO4  9,8777,28.7
CO5  0,9875,9.5
CO5  7,4506,1
CO5  8,7449,4
CO5  9,6369,1.4
CO6  1,9693,2.2
CO6  2,6285,1.5
CO6  3,6185,1.7
CO6  4,5879,1.2
CO6  5,851,0.6
CO7  0,8076,7.1
CO7  6,5962,1.2
CO7  7,5487,1.1
CO7  8,5791,1.6
CO7  9,7637,15.8
CO8  5,2303,0.7
CO9  1,9398,2.9
CO9  2,6044,2
CO9  3,5616,1.4
CO9  4,4202,0.7
CR0  0,18285,54.6
CR0  1,8974,65.6
CR0  2,19388,96.6
CR0  3,18754,66
CR0  4,16782,29.3
CR0  5,10713,15.7
CR0  6,21899,99.5
CR0  7,16011,54
CR0  8,12934,48.4
CR0  9,10493,28.4
CR2  0,10999,31.2
CR2  6,10864,51.5
CR2  7,8235,30.7
CR2  8,11285,20.3
CR2  9,7084,17.9
CR3  0,4283,18.1
CR3  5,12701,18.6
CR3  6,9414,13.3
CR3  7,2141,2
CR4  1,17002,53
CR4  2,13403,101.5
CR4  3,18775,96.4
CR4  4,9622,28.4
CR5  1,10639,11.3
CR5  2,9162,25
CR5  3,9061,7.1
CR6  9,9843,4.6
CR7  6,9048,94.9
CR7  7,17686,107
CR7  8,17957,92.1
CR8  1,4855,29.6
CR8  2,8289,41.1
CR8  3,5004,18.7
CR8  4,6090,35.7
CR8  5,8307,18.3
CT1  1,14531,17
CT1  2,4296,43
CT1  3,11928,15.3
CT10 1,7056,34
CT10 2,10522,20.2
CT10 3,7325,18
CT11 0,7465,28.1
CT11 7,9169,59
CT11 8,5761,66.6
CT11 9,6811,63
CT12 4,3882,1.4
CT12 5,2742,3.7
CT12 6,11202,30.1
CT13 0,5957,2.6
CT13 9,2944,1.5
CT14 0,2960,0.9
CT14 6,5355,50.8
CT14 7,9173,38.6
CT14 8,2694,2.1
CT14 9,14874,28.1
CT15 4,3706,1.8
CT15 5,3289,0.9
CT15 6,2499,1.9
CT15 7,3744,0.9
CT16 1,3447,18.3
CT16 2,10592,27.5
CT16 3,5584,5.7
CT17 0,12301,22.4
CT17 9,9785,13.8
CT18 7,10823,5.8
CT18 8,3086,1.3
CT19 4,9199,23.3
CT19 5,10233,41
CT19 6,9435,22.9
CT2  0,5883,5.8
CT2  7,13510,28
CT2  8,7567,41.3
CT2  9,3758,2.4
CT20 1,7046,90.8
CT20 2,7545,41.3
CT20 3,7879,26.3
CT21 4,4377,1.4
CT21 5,6446,12.8
CT21 6,6324,24
CT3  1,5858,1
CT3  2,3365,1.2
CT3  3,4438,3.2
CT3  4,3623,0.8
CT4  5,4171,0.8
CT4  6,5127,0.6
CT4  7,5455,1.1
CT4  8,1880,0.8
CT5  1,7536,35.2
CT5  2,8245,32.3
CT5  3,6778,2.8
CT5  4,10509,11.2
CT6  5,7481,38.2
CT6  6,9818,10.5
CT6  7,12628,7.3
CT6  8,8636,36
CT7  0,4045,1.8
CT7  9,7414,14.1
CT8  8,7338,33.1
CT9  1,6759,67.6
CT9  2,10779,78.8
CT9  3,11077,33.2
CT9  4,3862,4.7
CT9  5,10977,28.1
CV1  1,437,18.6
CV1  2,6764,47.4
CV1  3,5001,74.9
CV1  4,8165,54.9
CV1  5,10814,80.5
CV10 0,12587,4.7
CV10 7,11078,7.6
CV10 8,11974,39.3
CV10 9,14244,13.7
CV11 4,12061,29.4
CV11 5,11114,53.2
CV11 6,16253,6.9
CV12 0,9099,14.1
CV12 8,10682,38.7
CV12 9,11825,7.6
CV13 0,6402,1.1
CV13 6,4312,0.8
CV2  1,12001,34.6
CV2  2,12524,23.1
CV2  3,13010,54.8
CV2  4,13683,72.2
CV2  5,11988,52.3
CV21 1,9843,18.3
CV21 2,7990,44.8
CV21 3,10227,35.3
CV21 4,7530,17.4
CV22 5,9369,12.6
CV22 6,10470,23.7
CV22 7,15494,9.2
CV23 0,9612,0.9
CV23 8,5613,0.6
CV23 9,6611,1.1
CV3  1,8880,36.3
CV3  2,16357,23.3
CV3  3,7874,45.4
CV3  4,4249,12.2
CV3  5,13479,44.7
CV3  6,12484,36.8
CV31 1,12171,11.4
CV31 2,12287,24.2
CV31 3,7072,41.9
CV32 4,3149,9.8
CV32 5,8230,52.9
CV32 6,7490,11.1
CV32 7,13827,13.2
CV33 9,6103,0.9
CV34 4,4831,22.3
CV34 5,14218,25.8
CV34 6,12296,8.6
CV35 0,5786,0.7
CV35 7,5310,1
CV35 8,5676,1.3
CV35 9,7837,1.3
CV36 4,6496,2.2
CV36 5,2790,0.4
CV37 0,6733,1.3
CV37 6,6679,25.3
CV37 7,8658,2.7
CV37 8,6969,0.6
CV37 9,11959,3.7
CV4  7,8878,15
CV4  8,8015,10.1
CV4  9,16477,33.6
CV47 0,2213,17.2
CV47 1,4354,3.8
CV47 2,5145,0.6
CV47 7,751,0.4
CV47 8,2491,0.8
CV47 9,2013,1.5
CV5  6,11915,38.4
CV5  7,11931,39.3
CV5  8,12346,50.5
CV5  9,9776,6.6
CV6  1,13817,59.2
CV6  2,12131,31.4
CV6  3,10834,71.7
CV6  4,13098,47.3
CV6  5,13469,54.4
CV6  6,10696,26.5
CV6  7,12477,47.5
CV7  7,10748,2
CV7  8,8542,1.7
CV7  9,8788,3
CV8  1,11021,2.9
CV8  2,13239,6.8
CV8  3,6771,1.3
CV9  1,5796,13.9
CV9  2,8988,2.4
CV9  3,6420,1
CW1  2,1508,18.6
CW1  3,17346,43.3
CW1  4,11655,6.5
CW1  5,10723,5.1
CW1  6,1147,8.5
CW10 0,7597,7.5
CW10 9,6764,2.7
CW11 1,7236,2.6
CW11 2,1889,1.5
CW11 3,7181,2.9
CW11 4,6309,3.1
CW12 1,3872,24.6
CW12 2,4934,1.4
CW12 3,10059,6
CW12 4,10360,3.7
CW2  5,8061,2.3
CW2  6,10648,24.4
CW2  7,9284,44.1
CW2  8,13127,15.3
CW3  0,2755,1.1
CW3  9,6324,1.4
CW4  7,5823,4
CW4  8,3555,1.5
CW5  5,7751,36.6
CW5  6,7412,1.7
CW5  7,9654,1.9
CW5  8,4464,0.5
CW6  0,7005,1.6
CW6  9,5155,0.6
CW7  1,9340,26
CW7  2,10816,7.9
CW7  3,9459,11
CW7  4,1839,0.7
CW8  1,8686,17.6
CW8  2,9087,1.5
CW8  3,7139,8.2
CW8  4,10378,8.1
CW9  5,3371,19.6
CW9  6,5661,1.2
CW9  7,10771,5.3
CW9  8,13344,9.9
DA1  1,9614,35.6
DA1  2,11763,41.2
DA1  3,12006,31.7
DA1  4,8370,28.8
DA1  5,10934,14.7
DA10 0,6746,17.5
DA11 0,8909,71.7
DA11 7,9009,38.7
DA11 8,10962,33.6
DA11 9,9179,26.2
DA12 1,6711,53.9
DA12 2,8904,17.1
DA12 3,2356,1
DA12 4,14437,32.5
DA12 5,14984,53.7
DA13 0,9007,3.1
DA13 9,5442,2.9
DA14 4,9774,39.6
DA14 5,4193,6.9
DA14 6,7216,35.7
DA15 7,5408,53.3
DA15 8,14900,59.3
DA15 9,9119,38
DA16 1,12574,72.8
DA16 2,14284,58.1
DA16 3,9054,47.9
DA17 5,10470,61.9
DA17 6,6634,21.7
DA18 4,4939,17.7
DA2  6,9647,22
DA2  7,11704,7.3
DA2  8,1643,4.9
DA3  7,7825,14.4
DA3  8,8923,6.9
DA4  0,3133,1.3
DA4  9,5929,4
DA5  1,6994,26.6
DA5  2,5262,15.7
DA5  3,8568,37.4
DA6  7,4244,35.6
DA6  8,5602,38.6
DA7  4,12266,56.1
DA7  5,12231,51.9
DA7  6,11043,45.7
DA8  1,13375,53.8
DA8  2,10921,25
DA8  3,10263,57.6
DA9  9,13089,13.9
DE1  1,5044,43.5
DE1  2,2422,19.9
DE1  3,6341,51.9
DE11 0,15296,24.8
DE11 7,9745,7.4
DE11 8,6022,7.1
DE11 9,12746,17.2
DE12 6,7566,5.3
DE12 7,9101,3.2
DE12 8,3795,0.7
DE13 0,18922,22
DE13 7,4128,1.7
DE13 8,7962,0.9
DE13 9,9584,2.1
DE14 1,2468,5.1
DE14 2,12501,29.6
DE14 3,13875,15
DE15 0,9676,5.2
DE15 9,14516,7.7
DE21 2,10435,44.1
DE21 4,13248,34.7
DE21 5,3623,2.5
DE21 6,17333,28.6
DE21 7,12377,15.5
DE22 1,6464,20.5
DE22 2,13622,21
DE22 3,17663,54.9
DE22 4,7862,5.5
DE22 5,933,2.1
DE23 1,8516,48.9
DE23 2,3042,28.2
DE23 3,6045,41.3
DE23 4,2686,15.8
DE23 6,18975,62
DE23 8,20636,70.5
DE24 0,15565,32.5
DE24 1,1010,11
DE24 3,6249,22.7
DE24 5,1287,7.1
DE24 8,16740,28.2
DE24 9,13672,31.2
DE3  0,7926,37
DE3  9,9082,26.6
DE4  2,9049,1.1
DE4  3,12089,5.5
DE4  4,6817,1.2
DE4  5,5211,2
DE45 1,8676,0.7
DE5  3,13279,11
DE5  8,3907,3
DE5  9,4847,9.1
DE55 1,6751,12.1
DE55 2,7161,11
DE55 3,3781,21
DE55 4,8558,9.3
DE55 5,8176,4.9
DE55 6,7312,2.3
DE55 7,9485,5.2
DE56 0,12408,8.2
DE56 1,13418,30.1
DE56 2,9172,1.2
DE56 4,5376,4.2
DE6  1,11115,1.1
DE6  2,5392,0.4
DE6  3,3518,0.5
DE6  4,1060,0.4
DE6  5,4508,0.6
DE65 5,11968,2.7
DE65 6,11488,1.5
DE7  4,12656,5.5
DE7  5,9980,31.4
DE7  6,10477,3.2
DE7  8,13685,32.5
DE7  9,3118,32.3
DE72 2,4120,2
DE72 3,16105,4.2
DE73 5,4815,25.9
DE73 6,6566,29.4
DE73 7,1799,0.5
DE73 8,5872,1.8
DE74 2,11491,2.6
DE75 7,18713,12.8
DH1  1,9337,16.2
DH1  2,8622,6.5
DH1  3,9701,11
DH1  4,7661,20
DH1  5,14544,9.7
DH2  1,10749,10.8
DH2  2,10239,18.8
DH2  3,9439,8.6
DH3  1,7331,20.5
DH3  2,5578,21.6
DH3  3,6677,19.8
DH3  4,6318,5.6
DH4  4,8240,10.4
DH4  5,6848,26.5
DH4  6,8944,4.5
DH4  7,9439,22.1
DH5  0,7166,6.9
DH5  8,5870,9.4
DH5  9,6498,6.4
DH6  1,6792,2.6
DH6  2,9222,4.1
DH6  3,5601,5.3
DH6  4,7027,2.5
DH6  5,4750,3.7
DH7  0,5646,1.1
DH7  6,8411,3.1
DH7  7,7936,3.7
DH7  8,9980,3.8
DH7  9,9402,2.5
DH8  0,6805,11.7
DH8  5,6301,22.7
DH8  6,6940,4.5
DH8  7,9034,9.9
DH8  8,6616,11.5
DH8  9,2855,0.1
DH9  0,4757,5.7
DH9  6,10256,10.6
DH9  7,7979,10.3
DH9  8,6866,8.8
DH9  9,6834,4.9
DL1  1,5013,14.7
DL1  2,11974,34.4
DL1  3,8602,2.2
DL1  4,14290,44.8
DL1  5,6492,42.1
DL10 4,5249,5
DL10 5,3414,1
DL10 6,2858,0.5
DL10 7,6903,2.8
DL11 6,2030,0.1
DL11 7,3278,0.1
DL12 0,2494,0.1
DL12 8,6802,1.2
DL12 9,3111,0.2
DL13 1,1481,0.1
DL13 2,3100,0.2
DL13 3,3119,0.2
DL13 4,3154,0.7
DL13 5,3304,0.7
DL14 0,6311,3.2
DL14 6,11580,27.9
DL14 7,4682,6
DL14 8,6803,3.3
DL14 9,7696,3.7
DL15 0,8730,4.1
DL15 8,5297,2.4
DL15 9,8470,6.6
DL16 6,11219,11.5
DL16 7,8597,4.1
DL17 0,4954,2.8
DL17 8,8942,10.3
DL17 9,3776,2.2
DL2  1,5868,1.2
DL2  2,7198,0.6
DL2  3,3914,0.5
DL3  0,15145,26.8
DL3  6,8624,83.9
DL3  7,4094,34.1
DL3  8,7742,16
DL3  9,9107,41.8
DL4  1,4942,7
DL4  2,5034,13.9
DL5  4,9515,11.1
DL5  5,6185,30.5
DL5  6,3997,1.6
DL5  7,9643,16.5
DL6  1,8869,5.2
DL6  2,3981,0.5
DL6  3,2665,0.3
DL7  0,3135,0.3
DL7  8,7726,13.2
DL7  9,5357,1
DL8  1,4562,0.7
DL8  2,4514,0.5
DL8  3,2928,0.1
DL8  4,3071,0.1
DL8  5,3575,0.5
DL9  3,7423,6.3
DL9  4,8436,5.5
DN1  1,307,23.9
DN1  2,6392,30.7
DN1  3,2036,35
DN10 4,5286,0.9
DN10 5,1631,0.6
DN10 6,5169,0.9
DN11 0,13537,11
DN11 8,8294,5.4
DN11 9,6521,1.4
DN12 1,7856,10.1
DN12 2,5928,30.1
DN12 3,5803,25.9
DN12 4,4532,9.8
DN14 0,7301,1.1
DN14 5,7850,16.4
DN14 6,12960,24.1
DN14 7,7172,0.7
DN14 8,4824,0.5
DN14 9,6135,1.2
DN15 0,1067,0.3
DN15 6,5106,11
DN15 7,8581,39.5
DN15 8,12187,5
DN15 9,9662,1.4
DN16 1,9044,8.7
DN16 2,8659,43.2
DN16 3,13964,8.7
DN17 1,12004,27.9
DN17 2,11511,8.2
DN17 3,7315,1.3
DN17 4,6358,0.8
DN18 5,8684,17.9
DN18 6,3033,1.1
DN19 7,6282,1.4
DN2  4,8183,19.4
DN2  5,8087,35.6
DN2  6,8281,30.9
DN20 0,6875,0.8
DN20 8,6812,4.9
DN20 9,5500,2.2
DN21 1,11713,15.5
DN21 2,6795,31.9
DN21 3,7346,0.8
DN21 4,5138,0.5
DN21 5,6229,0.4
DN22 0,4803,0.6
DN22 6,7447,10.7
DN22 7,14903,12.6
DN22 8,5826,0.7
DN22 9,3107,0.4
DN3  1,8327,6.2
DN3  2,11824,20.4
DN3  3,9918,4.6
DN31 1,1928,9.9
DN31 2,7481,39
DN31 3,210,17.6
DN32 0,6619,33.4
DN32 7,6663,33.2
DN32 8,8466,32.9
DN32 9,8509,50.1
DN33 1,7111,51
DN33 2,5126,22.4
DN33 3,7301,34.8
DN34 4,8407,40.9
DN34 5,10594,34.4
DN35 0,8606,19.6
DN35 7,11839,69.9
DN35 8,8185,62.5
DN35 9,5931,41.7
DN36 4,10848,7.3
DN36 5,8255,1
DN37 0,7975,1.3
DN37 7,3542,1.4
DN37 8,400,0.1
DN37 9,9828,20
DN38 6,3023,0.6
DN39 6,2846,0.5
DN4  0,10620,44
DN4  5,5407,13.1
DN4  6,11640,15.5
DN4  7,7766,31.6
DN4  8,7638,13.3
DN4  9,10344,21.5
DN40 1,5650,4.1
DN40 2,3992,13
DN40 3,2657,0.6
DN41 7,2940,2.6
DN41 8,3326,0.8
DN5  0,9827,3.9
DN5  7,8833,1.3
DN5  8,11474,16.9
DN5  9,10730,36
DN6  0,6283,2
DN6  7,10737,13.1
DN6  8,8688,5.1
DN6  9,5440,1
DN7  4,8354,11.7
DN7  5,7284,2.7
DN7  6,8972,1.6
DN8  4,9796,2.2
DN8  5,7499,27.7
DN9  1,8575,1.1
DN9  2,5039,1
DN9  3,6404,2.4
DT1  1,5930,24.4
DT1  2,10864,33.6
DT1  3,2266,15.6
DT10 1,6104,1.8
DT10 2,5737,0.7
DT11 0,7206,0.6
DT11 7,10325,12.2
DT11 8,7905,0.7
DT11 9,4720,0.6
DT2  0,3582,0.3
DT2  7,5738,0.3
DT2  8,7849,0.6
DT2  9,7657,0.5
DT3  4,5626,1
DT3  5,8977,5.1
DT3  6,8535,5
DT4  0,12649,31
DT4  7,7697,46.8
DT4  8,4597,36.6
DT4  9,12350,24
DT5  1,6580,9.6
DT5  2,6264,12
DT6  3,6302,2.4
DT6  4,5789,1.8
DT6  5,5928,1.2
DT6  6,3540,0.6
DT7  3,5696,2
DT8  3,6000,0.7
DT9  3,3568,25.1
DT9  4,5651,1.2
DT9  5,4950,0.6
DT9  6,6621,1
DY1  1,748,32.8
DY1  2,14344,41.3
DY1  3,11246,46.5
DY1  4,5793,20.1
DY10 1,7077,21.6
DY10 2,11110,33.1
DY10 3,10247,5
DY10 4,7380,1.9
DY11 5,9960,5.4
DY11 6,12434,36.9
DY11 7,7683,10.2
DY12 1,4960,2
DY12 2,5976,2.2
DY12 3,1369,0.3
DY13 0,6755,3.7
DY13 8,8832,15.8
DY13 9,6622,3.3
DY14 0,1775,0.3
DY14 8,3843,0.7
DY14 9,2911,0.7
DY2  0,11024,28.1
DY2  7,7648,48.6
DY2  8,7069,33.5
DY2  9,8720,36.2
DY3  1,9578,35.9
DY3  2,11240,34.6
DY3  3,11109,30.6
DY3  4,1803,1.1
DY4  0,13881,43.3
DY4  7,9825,44
DY4  8,11217,44.2
DY4  9,7923,36.8
DY5  1,6453,23.5
DY5  2,13659,41.2
DY5  3,13053,39.3
DY5  4,8733,25.5
DY6  0,4060,32.4
DY6  7,4124,20.6
DY6  8,10735,28.4
DY6  9,8570,37.2
DY7  5,2208,0.4
DY7  6,6092,3.6
DY8  1,5551,42.4
DY8  2,6038,13.2
DY8  3,12558,33
DY8  4,13351,41.9
DY8  5,13239,47.4
DY9  0,10867,9.8
DY9  7,4985,32.1
DY9  8,5929,38.7
DY9  9,8291,3.1
E1   0,11066,159.3
E1   1,6305,222.8
E1   2,7872,162.1
E1   3,7366,165.2
E1   4,15388,162.9
E1   5,11202,165.1
E1   6,4333,82
E1   7,2483,25.8
E1   8,4374,89.7
E10  5,14857,80.1
E10  6,16361,120.7
E10  7,11902,47.6
E11  1,11673,52.8
E11  2,11440,46.3
E11  3,16434,67.9
E11  4,15142,122.9
E12  5,16644,42.1
E12  6,25962,150.6
E13  0,19094,150.6
E13  8,13717,110.5
E13  9,14358,154.9
E14  0,10795,119.9
E14  2,1760,46.2
E14  3,17059,126.3
E14  4,468,14.5
E14  5,649,55.2
E14  6,12181,145.8
E14  7,12828,150.4
E14  8,12380,136.9
E14  9,14518,104.7
E15  1,13928,59.7
E15  2,10963,46.3
E15  3,14417,115.9
E15  4,12342,115.3
E16  1,11995,61.1
E16  2,9795,31.6
E16  3,14011,70.4
E16  4,9570,56
E17  3,12624,75
E17  4,16479,73.8
E17  5,17002,65.5
E17  6,17015,60.2
E17  7,11177,48.3
E17  8,15726,96.8
E17  9,13106,119.9
E18  1,7920,53.6
E18  2,11944,71
E1W  1,2506,74.9
E1W  2,4204,100.8
E1W  3,5718,184.2
E2   0,11253,181.4
E2   6,9423,176.2
E2   7,9106,193.5
E2   8,7539,134.1
E2   9,8490,150.4
E3   2,13970,85.9
E3   3,10681,132
E3   4,15169,119.3
E3   5,12551,104.9
E4   6,16960,51.3
E4   7,11697,12
E4   8,14418,55.6
E4   9,17282,62.9
E5   0,17276,133.8
E5   8,16080,146.3
E5   9,15136,123.6
E6   1,16731,166.3
E6   2,18102,118.5
E6   3,21007,134.4
E6   5,11066,56.6
E6   6,11884,26.6
E7   0,14800,127.1
E7   8,21075,192.3
E7   9,18258,146.8
E8   1,8368,142.1
E8   2,10061,163.9
E8   3,10444,128.1
E8   4,10387,141.4
E9   5,12702,43.8
E9   6,11561,148.6
E9   7,13505,157.1
EC1A 4,143,376.3
EC1A 7,393,12.8
EC1A 9,358,41.5
EC1M 3,428,134.2
EC1M 5,1105,82.2
EC1M 6,753,108.3
EC1M 7,187,146.1
EC1N 7,2011,160.6
EC1N 8,639,76.7
EC1R 0,1225,89.8
EC1R 1,1239,120.6
EC1R 3,298,75.4
EC1R 4,1422,128.6
EC1R 5,701,97.2
EC1V 0,2106,183.6
EC1V 1,223,149.7
EC1V 2,121,44.5
EC1V 3,3194,172.8
EC1V 4,1342,225.5
EC1V 7,2333,143.9
EC1V 8,1711,166
EC1V 9,1735,169.9
EC1Y 0,1216,227.7
EC1Y 2,204,48
EC1Y 4,325,25.2
EC1Y 8,2022,199.2
EC2A 3,483,111
EC2A 4,746,36.2
EC2Y 8,3249,104.2
EC3R 8,227,6.7
EC4A 1,151,19.2
EC4V 3,319,13.8
EC4V 5,276,10.3
EC4Y 7,320,13.4
EN1  1,12238,72.1
EN1  2,7094,64.5
EN1  3,12261,45.8
EN1  4,13404,46.8
EN10 6,10904,17.8
EN10 7,6132,11.5
EN11 0,6488,17.1
EN11 8,6633,9.4
EN11 9,8330,48.5
EN2  0,9548,63.3
EN2  6,4241,33.9
EN2  7,7240,20.6
EN2  8,7071,40.4
EN2  9,1609,1.1
EN3  4,11749,38.7
EN3  5,15971,74.9
EN3  6,19395,52.3
EN3  7,9958,26.8
EN4  0,5253,6.8
EN4  8,12276,55.8
EN4  9,8049,28.4
EN5  1,6783,57.4
EN5  2,13749,37.1
EN5  3,3505,8.8
EN5  4,5634,3.8
EN5  5,8400,28.4
EN6  1,6386,17.2
EN6  2,6924,22.2
EN6  3,5390,3.3
EN6  4,5181,3.4
EN6  5,5129,32.1
EN7  5,7447,5.7
EN7  6,14603,16
EN8  0,9579,42
EN8  7,6936,30.5
EN8  8,11174,43.8
EN8  9,8137,38.2
EN9  1,7754,20
EN9  2,4799,1.7
EN9  3,11080,8
EX1  1,1726,44.9
EX1  2,9195,64.7
EX1  3,10600,16
EX10 0,4638,0.7
EX10 8,3420,8.9
EX10 9,9149,9
EX11 1,7795,2.4
EX12 2,7096,14.9
EX12 3,1824,0.9
EX12 4,496,0.4
EX13 5,6997,2.1
EX13 7,3789,0.5
EX13 8,543,0.6
EX14 1,5958,10.3
EX14 2,5525,7.7
EX14 3,3799,0.7
EX14 4,2461,0.5
EX14 9,2944,0.3
EX15 1,8766,1.9
EX15 2,5881,1
EX15 3,6666,0.8
EX16 4,6179,1.6
EX16 5,4920,3.3
EX16 6,9691,36.4
EX16 7,4384,0.6
EX16 8,3909,0.3
EX16 9,3357,0.3
EX17 1,2185,1.2
EX17 2,2176,34.3
EX17 3,4362,2.3
EX17 4,3273,0.3
EX17 5,3320,0.4
EX17 6,4223,0.5
EX18 7,3117,0.2
EX19 8,3525,0.4
EX2  4,6190,41.3
EX2  5,8864,41
EX2  6,5456,17.7
EX2  7,5196,11.1
EX2  8,7809,6.8
EX2  9,7183,3.6
EX20 1,7898,3.5
EX20 2,4542,0.4
EX20 3,4457,0.3
EX20 4,3069,0.2
EX21 5,4620,0.2
EX22 6,5939,0.4
EX22 7,4806,0.3
EX23 0,3460,0.5
EX23 8,7401,11.6
EX23 9,4843,0.5
EX24 6,3789,0.7
EX3  0,4940,4.8
EX31 1,3560,25.1
EX31 2,6325,8.4
EX31 3,8170,1.3
EX31 4,7420,0.4
EX32 0,5336,0.6
EX32 7,6937,1.5
EX32 8,6266,52.9
EX32 9,5239,28.6
EX33 1,5362,1.3
EX33 2,4862,2.6
EX34 0,2687,1.8
EX34 7,1637,1.1
EX34 8,6457,2
EX34 9,6525,2.3
EX35 6,1647,0.2
EX36 3,3920,0.2
EX36 4,4557,0.6
EX37 9,3362,0.3
EX38 7,4488,1.1
EX38 8,3644,0.6
EX39 1,9389,11
EX39 2,3760,32.6
EX39 3,9009,13.1
EX39 4,6870,1.7
