CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,match_rdp,match_sfp,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes
31,Carmarthenshire Towns Recovery & growth pilot,Carmarthenshire County Council,SA31 1JP,,A suite of pilot activities delivered to develop and support Carmarthenshire’s 10 rural market towns and three primary towns as they recover from the pandemic.,,,"£226,746 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£226,746 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Carmarthenshire's Old Towns - Their Past, Present and Potential",Carmarthenshire County Council,SA31 1JP,,"Improving sense of place and supporting sustainable regeneration in Carmarthen, Llanelli and Newcastle Emlyn. It will contribute to the development of small-medium businesses, with practical skills training and expanding the local knowledge base.",,,"£187,152 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£187,152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Digging Beneath the Surface - Archives, Archaeology and Access in Carmarthenshire",Carmarthenshire County Council,SA31 1JP,,"A project to discover, digitise and disseminate the rich and varied history of Carmarthenshire's internationally important heritage sites at the Dolaucothi and Dinefwr estates.",,,"£286,944 ",1,#N/A,#N/A,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caio,Llandeilo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA19 6,SA19 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143472.18,143472.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Dreigiau CYCA Dragons Y cyfle i fynnu - the opportunity to thrive,Carmarthenshire County Council,SA31 1JP,,Helping beneficiaries with business ideas. A panel of judges will convene monthly to hear business pitches from entrants with four finalists and two winners selected each month and given a start-up package of investment and tailored support. Individuals not ready for self-employment will have access to training and mentoring.,,,"£234,662 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£234,662 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Enterprise Carmarthenshire,Carmarthenshire County Council,SA31 1JP,,"A pilot to support people into self-employment, building skills and confidence. Investing in digital, employability and entrepreneurial skills, and supporting newly established microbusinesses.",,,"£201,064 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£201,064 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear information on visibility
36,Llanelli Town Centre Ambassador and Delivery Service Project,Carmarthenshire County Council,SA31 1JP,,Ambassadors will be appointed to welcome and signpost visitors and residents to services and attractions across the town centre. An electric cargo bike product delivery scheme will also be piloted with local businesses. A community fund will be available for emerging initiatives. ,,,"£181,101 ",1,#N/A,#N/A,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llanelli,Llanelli,Llanelli,Llanelli,Llanelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA15 4,SA14 8,SA15 3,SA15 1,SA15 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36220.2,36220.2,36220.2,36220.2,36220.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rapid Skills Shortage Response ,Carmarthenshire County Council,SA31 1JP,,"A collaborative education and industry led project to address immediate and medium-term skills gaps in the hospitality and construction sectors, supporting the employment markets for local businesses and communities, supporting unemployed people into employment, and up-skilling people to realise their potential.",,,"£824,947 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£824,947 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Regenerating Llanelli,Carmarthenshire County Council,SA31 1JP,,"Complementing key projects and enhancing the regeneration of the Llanelli area - planning and mapping out a suite of ambitious, innovative, and transformational projects.",,,"£146,880 ",1,#N/A,#N/A,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llanelli,Llanelli,Llanelli,Llanelli,Llanelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA15 4,SA14 8,SA15 3,SA15 1,SA15 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29376,29376,29376,29376,29376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Revitalise Rhydaman,Carmarthenshire County Council,SA31 1JP,,"Building on Ammanford’s recovery plan to deliver four projects that will enable the town to harness solutions that will build a stronger, locally focussed and more resilient town.",,,"£151,470 ",1,#N/A,#N/A,3,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammandford,Ammandford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA18 2,SA18 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75735,75735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Supporting the Welsh language in business and communities,Carmarthenshire County Council,SA31 1JP,,A pilot project delivering key activities to encourage businesses and community organisations to use the Welsh language.,,,"£81,600 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£81,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,THE LIFE YOU WANT,Carmarthenshire County Council,SA31 1JP,,"Supporting individuals to learn new skills, update existing skills, or find a new direction. The project will also offer in-depth support with job searches and living skills.",,,"£312,197 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£312,197 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AberInnovation Productivity Accelerator,Ceredigion County Council,SY23 3UE,,"AberInnovation’s productivity accelerator “Productivity 2 Prosperity” is a four month, UK-funded pilot project ending in August 2022. The fully funded pilot will deliver manufacturing, productivity and enterprise support and guidance to businesses in the food and drink, biotechnology, and agritech sectors in Ceredigion.",,,"£450,330 ",1,#N/A,#N/A,2,2,23,8,,,,,,,,,,,,,,,,,,,,,,"£450,330 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AnTir Feasibility Project,Ceredigion County Council,SY23 3UE,,"Wildlife gardening and organic food growing, and developed accredited learning units for them. We also trialled a garden-based volunteer programme.",,,"£170,261 ",1,#N/A,#N/A,3,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llanfarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY23 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May apply to areas outside the garden
44,BioAccelerate,Ceredigion County Council,SY23 3UE,,"BioAccelerate is a business accelerator programme designed to help you bring your innovative idea to fruition. Applications are now open to individuals or groups who wish to develop a new product or service in the bioscience, healthcare, agri-tech or food and drink sectors. ",,,"£218,331 ",1,#N/A,#N/A,2,2,23,8,,,,,,,,,,,,,,,,,,,,,,"£218,331 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Building the Resilience of Historic Visitor Attractions By Developing Volunteer Ability,Ceredigion County Council,SY23 3UE,,No details found,,,"£7,191 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Canolfan Tir Glas,Ceredigion County Council,SY23 3UE,,"Regeneration of Lampeter town. The development will stimulate economic, social and cultural activity in the area by injecting new life and energy into the town.",,,"£497,760 ",1,Canolfan Tir Glas,#N/A,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lampeter,Lampeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA48 8,SA48 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248880,248880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Enabling the Recovery of Ceredigion Towns,Ceredigion County Council,SY23 3UE,,No details found,,,"£244,703 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Enterprise Ceredigion,Ceredigion County Council,SY23 3UE,,Supporting people going in to self-employment.,,,"£217,389 ",1,#N/A,#N/A,2,2,23,8,,,,,,,,,,,,,,,,,,,,,,"£217,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear information on visibility
49,Lle i Weithio,Ceredigion County Council,SY23 3UE,,A pilot project forming a group of like-minded employers to collectively explore and trial initiatives to enhance job creation and retention of younger generations in Ceredigion.,,,"£101,550 ",1,#N/A,#N/A,2,2,23,8,,,,,,,,,,,,,,,,,,,,,,"£101,550 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mid Wales Challenge Led Launch Pad Series,Ceredigion County Council,SY23 3UE,,Programme aimed at developing novel solutions to public sector and societal issues through research and innovation whilst offering new market opportunities for businesses and low skilled people in mid Wales.,,,"£565,789 ",1,#N/A,#N/A,2,2,23,8,7,,,,,,,,,,,,,,,,,,,,,"£282,894 ","£282,894 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,New Skills New Start,Ceredigion County Council,SY23 3UE,,"Our programme helps individuals explore self-employment, training, volunteering and employment.",,,"£231,030 ",1,#N/A,#N/A,2,3,23,8,,,,,,,,,,,,,,,,,,,,,,"£231,030 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Reverb,Ceredigion County Council,SY23 3UE,,"Part of a wider Youth Café project, which hopes to pilot a training and employment scheme which will be offered to currently economically inactive, unemployable young people from their client group, enabling them to gain skills and experience within a safe supported environment.",,,"£75,212 ",1,#N/A,#N/A,2,2,23,8,,,,,,,,,,,,,,,,,,,,,,"£75,212 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Rural Community Engagement and Outreach Project,Ceredigion County Council,SY23 3UE,,"Enabling individuals to live healthily as possible, improving their independence, resilience nand autonomy, supporting them into sustainable employment, training and or education.",,,"£51,000 ",1,#N/A,#N/A,2,3,23,8,,,,,,,,,,,,,,,,,,,,,,"£51,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assume only Ceredigion
54,Conwy Skills & Employability Programme for Recovery and Growth,Conwy County Borough Council,LL29 7AZ,,"A series of Pilot projects which includes Pre-employment support, therapeutic counselling for those with mental health barriers to employment, action learning research to evaluate impact of pilot, pathway and development training courses in priority sectors and a feasibility study to identify model to establish multi-agency digital inclusion group in the community. Aimed at helping and supporting people to overcome multiple barriers to employment, with a person-centred strengths-based approach, helping them with job searches or short courses to help get them back into work. ",,,"£270,893 ",1,#N/A,#N/A,2,2,23,2,,,,,,,,,,,,,,,,,,,,,,"£270,893 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Conwy Tourism Innovation Hub,Conwy County Borough Council,LL29 7AZ,,"The project involves a series of initiatives to create and apply innovation in the town's vibrant tourism industry & visitor economy.  The aim of the project is to help build business resilience, improve efficiency and create a competitive edge for organisations within the town. Businesses should be able to benefit individually as well as working in collaboration to develop a capacity for growth.",,,"£850,093 ",1,#N/A,#N/A,3,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL32 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Creating opportunities for Culture-led renewal: Conwy Culture Strategy Development,Conwy County Borough Council,LL29 7AZ,,"To create a Cultural Partnership Enterprise to provide overall leadership and co-ordination of the Culture Strategy and five Town Teams to oversee spotlight action plans for our main towns. Also, to develop a Cultural Venture Fund and culture-led community place making.  The project includes two feasibility studies; the first will look at opportunities for increasing the use of Welsh words/Welsh language to enhance the visitor welcome and create a more authentic visitor experience. The second will audit and make recommendations on culture-for-wellbeing projects to progress under the Creu Conwy strategy.",,,"£219,842 ",1,#N/A,#N/A,2,2,23,2,,,,,,,,,,,,,,,,,,,,,,"£219,842 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Digital and Creative Conwy,Conwy County Borough Council,LL29 7AZ,,"The proposal is for a skills academy and business accelerator, to provide potential employees with a variety of workshops and interactive sessions. It includes digital reviews for businesses, and overviews of Net Zero plans and reviews measuring industry footprint with research from Bangor University providing carbon road mapping and toolkits for businesses.",,,"£442,900 ",1,#N/A,#N/A,2,2,23,2,,,,,,,,,,,,,,,,,,,,,,"£442,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Digital support platforms for businesses and communities in Conwy,Conwy County Borough Council,LL29 7AZ,,"Develop a series of online tools available to business sectors and local communities, supporting economic recovery and development.  Two workstreams: Customer Relationship Management Database and Directory; Tourism Ambassador Programme development, additional modules covering employment in tourism, customer service, green sustainable tourism and visitor safety in the mountains and on sea.",,,"£75,480 ",1,#N/A,#N/A,2,2,23,2,,,,,,,,,,,,,,,,,,,,,,"£75,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Llandudno Bay Promenade enhancement,Conwy County Borough Council,LL29 7AZ,,This is the first stage of the renewal and redesign of the heritage shelters and colonnades on Llandudno North Shore. The project will design replacement shelters and an upgrade of the colonnades to provide innovative new services to visitors and the local community.,,,"£51,000 ",1,#N/A,#N/A,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llandudno,Llandudno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL30 1,LL30 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25500,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Research on the impact of Covid19 on our town Centres,Conwy County Borough Council,LL29 7AZ,,"The project will deliver an appraisal of the current state of the 12 town and district centres in Conwy County Borough which will capture not just the lasting impacts of the COVID19 pandemic, but also recognise pre-pandemic longer term trends. This project will commission a study to specifically look at: understanding the impact of future working patterns, and impacts on town centres including the knock-on effects on footfall, spend, home working and the need for town centre co-working office hubs. The impact of the above on demand for office space, residential, tenanted workspace, property and land.  This will also include the development of a Motorhome strategy for Conwy. ",,,"£91,800 ",1,#N/A,#N/A,2,2,23,2,,,,,,,,,,,,,,,,,,,,,,"£91,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Rural Conwy Community Support and Development,Conwy County Borough Council,LL29 7AZ,,To expand on the work of the already established Rural team to: enable and support the governance of Town and Community Councils; expand the Transport for the Community scheme; feasibility for small scale renewable energy generation; support rollout of fibre broadband to rural areas of Conwy.,,,"£141,287 ",1,#N/A,#N/A,2,3,23,2,,,,,,,,,,,,,,,,,,,,,,"£141,287 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Towyn & Kinmel Bay Community Connections Project,Conwy County Borough Council,LL29 7AZ,,To establish a Community Partnership for Towyn and Kinmel Bay. The aim of the Partnership will be to gather evidence and work to understand the issues facing the community; talk to the community about assets and challenges within the area and identify actions to address these; agree priorities the community needs to make them happen and develop an action toolkit that upskills the community with co-delivery.,,,"£63,507 ",1,#N/A,#N/A,3,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Towyn,Kinmel Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL29 9,LL18 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31753.5,31753.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Transforming Young Minds for Tomorrow - Trawsnewid Meddyliau Ifanc ar gyfer Yfory,Conwy County Borough Council,LL29 7AZ,,"The project would create interactive activities to expose both primary and secondary school pupils to the wonders of manufacturing and engineering. Making them aware of the range of innovative and rewarding careers available in the Advanced Materials and Manufacturing, Creative and Digital and Energy and Environment sectors in the region.",,,"£88,614 ",1,#N/A,#N/A,2,3,21,2,,,,,,,,,,,,,,,,,,,,,,"£88,614 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Blossom & Bloom - Community Outreach,Denbighshire County Council,LL15 1YN,,Blossom and Bloom will deliver well-being and housing related support to all mums and babies in Rhyl who have any kind of support need. This is a pilot outreach service building upon current service provision. They will also employ a tenancy coordinator to help create more sustainable housing opportunities for the mothers.,,,"£102,719 ",1,#N/A,#N/A,3,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhyl,Rhyl,Rhyl,Rhyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL18 1,LL18 2,LL18 3,LL18 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25679.69,25679.69,25679.69,25679.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
