CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,match_rdp,match_sfp,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes
11,Bridgend Elevate and Prosper (EAP),Bridgend County Borough Council,CF31 4WB,,"The project will work by developing a series of popup initiatives to create opportunities for start-up and micro business growth, encourage greater footfall and dwell time, and enable greater resilience with a ‘quicker, lighter, cheaper’ approach to test a series of changes.",,,"£122,400 ",1,#N/A,#N/A,2,2,21,13,,,,,,,,,,,,,,,,,,,,,,"£122,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bridgend.gov.uk/news/creative-pop-ups-help-to-boost-bridgend-county-borough/
12,Connecting Teachers with Industry,Bridgend County Borough Council,CF31 4WB,,"The Connecting Teachers with Industry Project is an excellent opportunity for teachers and students from schools in the Bridgend and Rhondda Cynon Taf local authorities, to find out about the exciting careers available in the Science, Technology, Engineering, Arts and Math (STEAM) sectors in Wales.",,,"£57,842 ",1,#N/A,#N/A,2,3,21,13,,,,,,,,,,,,,,,,,,,,,,"£57,842 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Enterprise Bridgend,Bridgend County Borough Council,CF31 4WB,,"Enterprise Bridgend aims to support people, especially women, who have been furloughed during the pandemic or who may be unemployed / economically inactive by helping them develop skills and confidence for moving into self-employment.",,,"£217,389 ",1,#N/A,#N/A,2,2,23,13,,,,,,,,,,,,,,,,,,,,,,"£217,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear information on visibility
14,THE LIFE YOU WANT,Bridgend County Borough Council,CF31 4WB,,The Life You Want Project provide opportunities in training and support into employment for people and communities in Wales.,,,"£204,300 ",1,#N/A,#N/A,2,2,23,13,,,,,,,,,,,,,,,,,,,,,,"£204,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Transforming Young Minds for Tomorrow - Trawsnewid Meddyliau Ifanc ar gyfer Yfory,Bridgend County Borough Council,CF31 4WB,,"The project would create interactive activities to expose both primary and secondary school pupils to the wonders of manufacturing and engineering. Making them aware of the range of innovative and rewarding careers available in the Advanced Materials and Manufacturing, Creative and Digital and Energy and Environment sectors in the region.",,,"£88,614 ",1,#N/A,#N/A,2,3,21,13,,,,,,,,,,,,,,,,,,,,,,"£88,614 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Women's focussed Incubator for Ambitious Entrepreneurs in Bridgend.,Bridgend County Borough Council,CF31 4WB,,"Focus on supporting women entrepreneurs in Caerphilly County Borough.  They will deliver a three-month business incubator programme to two cohorts (20 women in each) who have their own micro-businesses. The programme will be blended online learning with personalised needs analysis, 12 modules and four live workshops.",,,"£94,605 ",1,#N/A,#N/A,2,2,23,13,,,,,,,,,,,,,,,,,,,,,,"£94,605 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Engaging Enterprise,Caerphilly County Borough Council,CF31 4WB,,"The project is designed to support people considering self-employment, transform lives by delivering results-based learning linked to ground-breaking technology.  A seven-week course will be delivered digitally to up to 780 participants. The project will concentrate on those with complex barriers, the over-50s and those within the gig economy.",,,"£811,074 ",1,#N/A,#N/A,2,2,23,16,,,,,,,,,,,,,,,,,,,,,,"£811,074 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assume only Caerphilly
18,Enterprise Caerphilly,Caerphilly County Borough Council,CF31 4WB,,"Tailored specifically for economically inactive/unemployed/furloughed individuals and delivered predominantly online, the project will support people into self-employment and will build skills and confidence. The project invests in digital, employability and entrepreneurial skills. It supports newly established micro-businesses and supplements mainstream provision, working closely with community partners.",,,"£217,389 ",1,#N/A,#N/A,2,2,23,16,,,,,,,,,,,,,,,,,,,,,,"£217,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear information on visibility
19,THE LIFE YOU WANT,Caerphilly County Borough Council,CF31 4WB,,The Life You Want Project provide opportunities in training and support into employment for people and communities in Wales.,,,"£204,300 ",1,#N/A,#N/A,2,2,23,16,,,,,,,,,,,,,,,,,,,,,,"£204,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Women's focussed Incubator for Ambitious Entrepreneurs in Caerphilly,Caerphilly County Borough Council,CF31 4WB,,"Focus on supporting women entrepreneurs in Caerphilly County Borough.  They will deliver a three-month business incubator programme to two cohorts (20 women in each) who have their own micro-businesses. The programme will be blended online learning with personalised needs analysis, 12 modules and four live workshops.",,,"£94,605 ",1,#N/A,#N/A,2,2,23,16,,,,,,,,,,,,,,,,,,,,,,"£94,605 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
